Date,Open,Price,High,Low,Vol(M),Change%,
Dec 28 / 2021,16488.66,16602.92,16607.19,16458.49,136.37,-0.48,
Dec 29 / 2021,16491.01,16510.63,16548.92,16396.16,133.19,0.01,
Dec 30 / 2021,16429.10,16485.40,16569.62,16415.12,125.58,-0.38,
Dec 31 / 2021,16320.08,16411.26,16464.62,16317.26,144.78,-0.66,
Jan 03 / 2022,16501.77,16395.51,16504.13,16306.64,199.76,1.11,
Jan 04 / 2022,16279.73,16513.87,16513.87,16151.91,241.07,-1.35,
Jan 05 / 2022,15771.77,16190.55,16249.23,15763.84,257.52,-3.12,
Jan 06 / 2022,15765.36,15675.22,15900.60,15608.57,229.89,-0.04,
Jan 07 / 2022,15592.19,15774.13,15835.00,15526.80,212.83,-1.10,
Jan 10 / 2022,15614.43,15383.18,15627.92,15165.53,281.70,0.14,
Jan 11 / 2022,15844.12,15582.72,15848.56,15496.91,214.96,1.47,
Jan 12 / 2022,15905.10,15955.48,16017.39,15815.94,192.30,0.38,
Jan 13 / 2022,15495.62,15970.09,15990.38,15468.09,220.05,-2.57,
Jan 14 / 2022,15611.59,15396.47,15617.18,15396.47,214.94,0.75,
Jan 18 / 2022,15210.76,15378.06,15446.30,15182.96,284.38,-2.57,
Jan 19 / 2022,15047.84,15287.25,15382.00,15038.43,228.59,-1.07,
Jan 20 / 2022,14846.46,15176.38,15347.62,14832.69,246.53,-1.34,
Jan 21 / 2022,14438.40,14728.66,14868.45,14432.64,388.09,-2.75,
Jan 24 / 2022,14509.58,14160.91,14532.57,13724.85,425.47,0.49,
Jan 25 / 2022,14149.12,14237.60,14410.43,14033.81,283.30,-2.48,
Jan 26 / 2022,14172.76,14492.52,14646.54,14006.40,310.91,0.17,
Jan 27 / 2022,14003.11,14346.46,14419.45,13972.88,291.78,-1.20,
Jan 28 / 2022,14454.61,14091.32,14457.78,13880.48,292.47,3.22,
Jan 31 / 2022,14930.05,14505.07,14934.52,14442.88,311.40,3.29,
Feb 01 / 2022,15019.68,14966.60,15034.42,14749.49,234.44,0.60,
